pdbid,ligand_id,ligand_resnum,rna_chain,ligand_chain
7rqb,ARG,231,1B,MRA
7rqc,ARG,231,1B,VRA
7rqe,ARG,231,1B,RRA
7ryf,80P,1601,a,CB
7ryg,80P,1601,a,CB
7ryh,80P,1601,a,AB
7s1h,ZLD,3114,I,UI
7s1j,RD8,3112,I,NI
7u2i,CLM,4097,1A,MTA
7u2i,CLM,3863,2A,ISC
7ucj,MQ6,5296,5,OJ
7uck,MQ6,5294,5,MJ
7uoo,B3P,3478,1,HE
7uoo,B3P,3479,1,IE
7uqb,B3P,3401,1,IB
7uqb,B3P,3402,1,JB
7uqz,B3P,3478,1,HE
7uqz,B3P,3479,1,IE
7uvy,OIY,3003,A,EB
7uvy,OIY,3004,A,FB
7uvy,OIY,3005,A,GB
7uvz,OIY,3002,A,DB
7uvz,OIY,3005,A,GB
7uvz,OIY,3006,A,HB
7uw1,OIY,3002,A,BB
7uw1,OIY,3004,A,DB
7uw1,OIY,3005,A,EB
7v08,B3P,3475,1,EE
7v08,B3P,3476,1,FE
8a3d,HMT,5455,A,JO
8a5i,3QB,3156,A,EG
8akn,SPM,6209,a,TM
8am9,SPM,3209,a,FM
8ana,SPM,6209,a,JI
8any,SPM,1702,AA,TC
8auv,SPM,2017,h,VE
8aye,T8B,1689,A,PE
8b2l,SPM,2018,h1,SG
8btk,SPM,1909,A2,YZ
8c3a,TIX,3958,1,SAA
8c3a,TIX,3782,AS,FAB
8ca7,U3B,1602,A,K
8cai,HY0,1603,A,R
8cai,HY0,1605,A,T
8cf1,TAC,1601,A,K
8cf8,YQM,1601,A,J
8cgd,CLY,3002,a,GA
8cgi,P8F,1601,A,J
8cgj,TAC,1604,A,T
8cgk,3QB,3002,a,EA
8cgr,AM2,1603,A,Q
8cgr,AM2,1604,A,R
8cgr,AM2,1605,A,S
8cgu,LLL,1603,A,Q
8cgu,LLL,1606,A,T
8cgv,MUL,3003,a,GA
8crx,V7A,1601,A,CB
8crx,V7A,3101,a,TE
8cvm,V7A,3101,a,RA
8cvo,V7A,1601,A,J
8e30,UE6,3001,I,K
8e36,UEC,3001,I,K
8e43,UI0,3001,I,K
8e44,UI9,3001,I,K
8e48,UIF,3001,I,K
8e49,UH0,3001,I,K
8eiu,PAR,1601,A,FB
8eiu,SPM,6205,a,XL
8ekc,T8B,3133,a,FG
8emm,PAR,1601,A,CL
8emm,SPM,6219,a,NJ
8ev6,AKN,3936,1A,HNA
8ev6,AKN,1913,1a,BDB
8ev6,AKN,3576,2A,BBC
8ev6,AKN,1911,2a,XOC
8ev7,KAN,3933,1A,ENA
8ev7,KAN,3935,1A,GNA
8ev7,KAN,1955,1a,FEB
8ev7,KAN,3568,2A,ACC
8ev7,KAN,3569,2A,BCC
8ev7,KAN,1828,2a,JMC
8fc1,ARG,230,1B,ISA
8fc2,ARG,230,1B,PRA
8fc3,ARG,230,1B,LRA
8fc4,ARG,230,1B,TRA
8fc4,HGR,3671,2A,QIC
8fc5,ARG,230,1B,ZRA
8fc6,ARG,231,1B,ORA
8fto,FME,4196,a,SL
8g5y,ANM,5501,L5,EI
8g5z,ANM,5101,L5,EH
8g60,ANM,5101,L5,AH
8g61,ANM,5301,L5,DF
8g6j,HMT,5118,L5,OG
8g6w,PAR,1601,A,FB
8g6x,SPM,6213,a,MI
8g7q,PAR,1601,a,GB
8g7r,PAR,1601,a,EB
8glp,ANM,5101,L5,TI
8ifb,84D,1738,A,KG
8ifb,84D,1739,A,LG
8ifb,84D,3255,a,RQ
8ifb,84D,3256,a,SQ
8ifb,84D,3257,a,TQ
8ifb,84D,3258,a,UQ
8ifb,84D,3260,a,WQ
8ifb,84D,3261,a,XQ
8ifb,84D,3262,a,YQ
8ifb,SPM,3180,a,UN
8ifc,84G,1791,A,LI
8ifc,84G,1792,A,MI
8ifc,84G,1793,A,NI
8ifc,84G,6249,a,US
8ifc,84G,6250,a,VS
8ifc,84G,6252,a,XS
8ifc,84G,6253,a,YS
8ifc,84G,6254,a,ZS
8ifc,84G,6255,a,AT
8ifc,SPM,6204,a,BR
8ifd,84D,5101,1A,CC
8ifd,84D,5107,1A,IC
8ifd,84D,5110,1A,LC
8ifd,84D,5111,1A,MC
8ifd,84D,1901,2m,CO
8ife,84G,5101,1A,CC
8ife,84G,5102,1A,DC
8ife,84G,5110,1A,LC
8ife,84G,5116,1A,RC
8ife,84G,5117,1A,SC
8p2k,SPM,1912,A2,VAA
8peg,ATP,3194,7,WI
8syl,AKN,3099,a,YE
8syl,AKN,3360,A,ZS
8t8b,ARG,231,1B,DRA
8t8c,ARG,230,1B,CSA
4w2i,NEG,3220,BA,TL
4w2i,NEG,3221,BA,UL
4w2i,NEG,3174,DA,TCB
4w2i,NEG,3175,DA,UCB
4w2i,NEG,3004,DA,QDB
4tua,PAR,1715,XA,EY
4tub,PAR,1710,XA,AY
4tud,PAR,1705,XA,OW
4tue,PAR,1715,XA,BY
4z3s,4M2,3673,2A,NCC
5doy,HGR,3652,2A,ZCC
6az3,PAR,1604,2,AC
6az3,PAR,1605,2,BC
7rqd,ARG,1001,1B,XRA
7tql,5GP,101,3,NA
8ceu,G34,3001,a,NA
