"ID","NAKB NA","NAKB Protein","NAKB Ligand"
"4V6D","ribosomal RNA, transfer RNA","ribosome",""
"4V6E","ribosomal RNA, transfer RNA","ribosome",""
"4V6F","ribosomal RNA, transfer RNA","ribosome",""
"4V6G","ribosomal RNA, transfer RNA","ribosome",""
"4V6I","ribosomal RNA, transfer RNA","ribosome",""
"4V6K","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V6L","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V6M","ribosomal RNA, transfer RNA","cell cycle, regulatory, ribosome, SEC channel",""
"4V6N","ribosomal RNA, transfer RNA","ribosome",""
"4V6O","ribosomal RNA, transfer RNA","ribosome",""
"4V6P","ribosomal RNA, transfer RNA","ribosome",""
"4V6Q","ribosomal RNA, transfer RNA","ribosome",""
"4V6R","ribosomal RNA, transfer RNA","ribosome",""
"4V6S","ribosomal RNA, transfer RNA","ribosome",""
"4V6T","ribosomal RNA, transfer-messenger (tmRNA), transfer RNA","ribosome, translation",""
"4V6U","ribosomal RNA, transfer RNA","ribosome",""
"4V6V","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V6W","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V6X","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V6Y","ribosomal RNA, transfer RNA","ribosome",""
"4V6Z","ribosomal RNA, transfer RNA","ribosome",""
"4V70","ribosomal RNA, transfer RNA","ribosome",""
"4V71","ribosomal RNA, transfer RNA","ribosome",""
"4V72","ribosomal RNA, transfer RNA","ribosome",""
"4V73","ribosomal RNA, transfer RNA","ribosome",""
"4V74","ribosomal RNA, transfer RNA","ribosome",""
"4V75","ribosomal RNA, transfer RNA","ribosome",""
"4V76","ribosomal RNA, transfer RNA","ribosome",""
"4V77","ribosomal RNA, transfer RNA","ribosome",""
"4V78","ribosomal RNA, transfer RNA","ribosome",""
"4V79","ribosomal RNA, transfer RNA","ribosome",""
"4V7A","ribosomal RNA, transfer RNA","ribosome",""
"4V7B","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V7C","ribosomal RNA, transfer RNA","ribosome",""
"4V7D","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V7E","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V7F","ribosomal RNA","protease, ribosome, translation",""
"4V7H","ribosomal RNA, transfer RNA","ribosome",""
"4V7I","ribosomal RNA","ribosome, SEC channel",""
"4V7J","ribosomal RNA, transfer RNA","nuclease, ribosome, toxin/antitoxin, translation",""
"4V7K","ribosomal RNA, transfer RNA","nuclease, ribosome, toxin/antitoxin, translation",""
"4V7L","ribosomal RNA, transfer RNA","ribosome",""
"4V7M","ribosomal RNA, transfer RNA","ribosome",""
"4V7P","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V7R","ribosomal RNA","ribosome",""
"4V7S","ribosomal RNA","ribosome",""
"4V7T","ribosomal RNA","ribosome",""
"4V7U","ribosomal RNA","ribosome",""
"4V7V","ribosomal RNA","ribosome",""
"4V7W","ribosomal RNA","ribosome",""
"4V7X","ribosomal RNA","ribosome",""
"4V7Y","ribosomal RNA","ribosome",""
"4V7Z","ribosomal RNA","ribosome",""
"4V83","ribosomal RNA, IRES element","ribosome",""
"4V84","ribosomal RNA","ribosome",""
"4V85","ribosomal RNA","ribosome, translation",""
"4V87","ribosomal RNA, transfer RNA","ribosome",""
"4V88","ribosomal RNA","ribosome, translation",""
"4V89","ribosomal RNA","ribosome, translation",""
"4V8A","ribosomal RNA","ribosome",""
"4V8B","ribosomal RNA, transfer RNA","ribosome",""
"4V8C","ribosomal RNA, transfer RNA","ribosome",""
"4V8D","ribosomal RNA, transfer RNA","ribosome",""
"4V8E","ribosomal RNA, transfer RNA","ribosome",""
"4V8F","ribosomal RNA, transfer RNA","ribosome",""
"4V8G","ribosomal RNA","ribosome, translation",""
"4V8H","ribosomal RNA","ribosome, translation",""
"4V8I","ribosomal RNA","ribosome",""
"4V8J","ribosomal RNA, transfer RNA","ribosome",""
"4V8M","ribosomal RNA, transfer RNA","ribosome",""
"4V8N","ribosomal RNA, transfer RNA","ribosome",""
"4V8O","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V8P","ribosomal RNA","ribosome, translation",""
"4V8Q","ribosomal RNA, transfer-messenger (tmRNA), transfer RNA","ribosome, translation",""
"4V8T","ribosomal RNA","protease, ribosome",""
"4V8U","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V8X","ribosomal RNA, transfer RNA","nuclease, ribosome, toxin/antitoxin",""
"4V8Y","ribosomal RNA, transfer RNA","hydrolase, ribosome, translation",""
"4V8Z","ribosomal RNA, transfer RNA","hydrolase, ribosome, translation",""
"4V90","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V91","ribosomal RNA","ribosome",""
"4V92","ribosomal RNA, IRES element","ribosome",""
"4V95","ribosomal RNA, transfer RNA","nuclease, ribosome, translation",""
"4V97","ribosomal RNA, transfer RNA","ribosome",""
"4V9A","ribosomal RNA, transfer RNA","ribosome",""
"4V9B","ribosomal RNA, transfer RNA","ribosome",""
"4V9C","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V9D","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V9F","ribosomal RNA","ribosome",""
"4V9H","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V9I","ribosomal RNA, transfer RNA","ribosome",""
"4V9J","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V9K","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V9L","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V9M","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V9N","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V9O","ribosomal RNA","ribosome, translation",""
"4V9P","ribosomal RNA","ribosome, translation",""
"4V9Q","ribosomal RNA, transfer RNA","ribosome",""
"4V9R","ribosomal RNA, transfer RNA","ribosome",""
"4V9S","ribosomal RNA, transfer RNA","ribosome",""
"4W29","ribosomal RNA, transfer RNA","ribosome, translation",""
"4W2E","ribosomal RNA, transfer RNA","ribosome",""
"4W2F","ribosomal RNA, transfer RNA","ribosome",""
"4W2G","ribosomal RNA, transfer RNA","ribosome",""
"4W2H","ribosomal RNA, transfer RNA","ribosome",""
"4W2I","ribosomal RNA, transfer RNA","ribosome",""
"4W4G","ribosomal RNA, transfer RNA","nuclease, ribosome, toxin/antitoxin, translation",""
"4WCE","ribosomal RNA","ribosome",""
"4WF1","ribosomal RNA","ribosome",""
"4WF9","ribosomal RNA","ribosome",""
"4WFA","ribosomal RNA","ribosome",""
"4WFB","ribosomal RNA","ribosome",""
"4WFN","ribosomal RNA","ribosome",""
"4WOI","ribosomal RNA, transfer RNA","ribosome, translation",""
"4WPO","ribosomal RNA, transfer RNA","ribosome, translation",""
"4WQ1","ribosomal RNA, transfer RNA","ribosome",""
"4WQF","ribosomal RNA, transfer RNA","ribosome, translation",""
"4WQR","ribosomal RNA, transfer RNA","ribosome",""
"4WQU","ribosomal RNA, transfer RNA","ribosome, translation",""
"4WQY","ribosomal RNA, transfer RNA","ribosome, translation",""
"4WR6","ribosomal RNA, transfer RNA","ribosome",""
"4WRA","ribosomal RNA, transfer RNA","ribosome",""
"4WRO","ribosomal RNA, transfer RNA","ribosome",""
"4WSD","ribosomal RNA, transfer RNA","ribosome",""
"4WSM","ribosomal RNA, transfer RNA","ribosome",""
"4WT1","ribosomal RNA, transfer RNA","ribosome",""
"4WT8","ribosomal RNA, transfer RNA","ribosome",""
"4WU1","ribosomal RNA, transfer RNA","ribosome",""
"4WWW","ribosomal RNA","ribosome",""
"4WZD","ribosomal RNA, transfer RNA","ribosome",""
"4WZO","ribosomal RNA, transfer RNA","ribosome",""
"4X62","ribosomal RNA, transfer RNA","ribosome",""
"4X64","ribosomal RNA, transfer RNA","ribosome",""
"4X65","ribosomal RNA, transfer RNA","ribosome",""
"4X66","ribosomal RNA, transfer RNA","ribosome",""
"4XEJ","ribosomal RNA, IRES element","ribosome",""
"4Y27","ribosomal RNA","",""
"4Y4O","ribosomal RNA","ribosome",""
"4Y4P","ribosomal RNA, transfer RNA","ribosome",""
"4YBB","ribosomal RNA","ribosome",""
"4YHH","ribosomal RNA","ribosome",""
"4YPB","ribosomal RNA, transfer RNA","nuclease, ribosome, toxin/antitoxin, translation",""
"4YY3","ribosomal RNA","nuclease, ribosome, toxin/antitoxin, translation",""
"4YZV","ribosomal RNA, transfer RNA","nuclease, ribosome, toxin/antitoxin, translation",""
"4Z3S","ribosomal RNA, transfer RNA","ribosome",""
"4Z8C","ribosomal RNA, transfer RNA","ribosome",""
"4ZER","ribosomal RNA, transfer RNA","ribosome",""
"4ZSN","ribosomal RNA, transfer RNA","nuclease, ribosome, toxin/antitoxin, translation",""
"5A2Q","ribosomal RNA, IRES element","ribosome",""
"5A8L","ribosomal RNA, transfer RNA","ribosome, translation",""
"5A9Z","ribosomal RNA","hydrolase, ribosome",""
"5AA0","ribosomal RNA, transfer RNA","hydrolase, ribosome",""
"5ADY","ribosomal RNA","ribosome, translation",""
"5AFI","ribosomal RNA, transfer RNA","ribosome, translation",""
"5AJ0","ribosomal RNA, transfer RNA","ribosome",""
"5AJ3","ribosomal RNA, transfer RNA","ribosome",""
"5AJ4","ribosomal RNA, transfer RNA","ribosome, translation",""
"5AKA","ribosomal RNA","ribosome, signal recognition particle (SRP)",""
"5AN9","ribosomal RNA","ribosome, translation",""
"5ANB","ribosomal RNA","ribosome, translation",""
"5ANC","ribosomal RNA","ribosome, translation",""
"5APN","ribosomal RNA","protease, ribosome, translation",""
"5APO","ribosomal RNA","protease, ribosome, translation",""
"5BR8","ribosomal RNA","ribosome",""
"5CZP","ribosomal RNA, transfer RNA","ribosome, translation",""
"5D6G","ribosomal RNA","ribosome",""
"5D8B","ribosomal RNA, transfer RNA","ribosome",""
"5D8H","ribosomal RNA","ribosome",""
"5D99","ribosomal RNA","",""
"5DAR","ribosomal RNA","ribosome",""
"5DAT","ribosomal RNA","ribosome, translation",""
"5DC3","ribosomal RNA","ribosome, translation",""
"5DFE","ribosomal RNA, transfer RNA","ribosome, translation",""
"5DGE","ribosomal RNA","ribosome, translation",""
"5DGF","ribosomal RNA","ribosome, translation",""
"5DGV","ribosomal RNA","ribosome, translation",""
"5DM6","ribosomal RNA","ribosome",""
"5DM7","ribosomal RNA","ribosome",""
"5DOX","ribosomal RNA","ribosome",""
"5DOY","ribosomal RNA, transfer RNA","ribosome",""
"5E7K","ribosomal RNA, transfer RNA","ribosome",""
"5E81","ribosomal RNA, transfer RNA","ribosome",""
"5EL4","ribosomal RNA, transfer RNA","ribosome",""
"5EL5","ribosomal RNA, transfer RNA","ribosome",""
"5EL6","ribosomal RNA, transfer RNA","ribosome",""
"5EL7","ribosomal RNA, transfer RNA","ribosome",""
"5F8K","ribosomal RNA, transfer RNA","ribosome",""
"5FCI","ribosomal RNA","ribosome",""
"5FCJ","ribosomal RNA","ribosome",""
"5FDU","ribosomal RNA","ribosome",""
"5FDV","ribosomal RNA","ribosome",""
"5FLX","ribosomal RNA, IRES element","ribosome",""
"5GAD","ribosomal RNA","nuclease, ribosome, signal recognition particle (SRP)",""
"5GAE","ribosomal RNA","ribosome, SEC channel",""
"5GAF","ribosomal RNA","nuclease, ribosome, signal recognition particle (SRP)",""
"5GAG","ribosomal RNA","nuclease, ribosome, signal recognition particle (SRP)",""
"5GAH","ribosomal RNA","nuclease, ribosome, signal recognition particle (SRP)",""
"5GAK","ribosomal RNA, transfer RNA","ribosome, translation",""
"5H1S","ribosomal RNA","ribosome",""
"5H4P","ribosomal RNA","ribosome, signal recognition particle (SRP), translation",""
"5H5U","ribosomal RNA, transfer RNA","ribosome, translation",""
"5HAU","ribosomal RNA, transfer RNA","ribosome, translation",""
"5HCP","ribosomal RNA, transfer RNA","ribosome",""
"5HCQ","ribosomal RNA, transfer RNA","ribosome",""
"5HCR","ribosomal RNA, transfer RNA","ribosome",""
"5HD1","ribosomal RNA, transfer RNA","ribosome",""
"5HKV","ribosomal RNA","ribosome",""
"5HL7","ribosomal RNA","ribosome",""
"5I4L","ribosomal RNA","ribosome",""
"5IB7","ribosomal RNA, transfer RNA","ribosome",""
"5IB8","ribosomal RNA, transfer RNA","ribosome",""
"5IBB","ribosomal RNA, transfer RNA","ribosome",""
"5IMQ","ribosomal RNA, transfer RNA","ribosome, translation",""
"5IMR","ribosomal RNA, transfer RNA","ribosome, translation",""
"5IQR","ribosomal RNA, transfer RNA","kinase, ribosome",""
"5IT8","ribosomal RNA","ribosome",""
"5IT9","ribosomal RNA, IRES element","ribosome",""
"5IWA","ribosomal RNA","ribosome",""
"5J30","ribosomal RNA, transfer RNA","ribosome, translation",""
"5J3C","ribosomal RNA, transfer RNA","ribosome, translation",""
"5J4B","ribosomal RNA, transfer RNA","ribosome",""
"5J4C","ribosomal RNA, transfer RNA","ribosome",""
"5J4D","ribosomal RNA, transfer RNA","ribosome, translation",""
"5J5B","ribosomal RNA","ribosome",""
"5J7L","ribosomal RNA","ribosome",""
"5J88","ribosomal RNA","ribosome",""
"5J8A","ribosomal RNA","ribosome",""
"5J8B","ribosomal RNA, transfer RNA","ribosome, translation",""
"5J91","ribosomal RNA","ribosome",""
"5JB3","ribosomal RNA, transfer RNA","hydrolase, ribosome, translation",""
"5JBH","ribosomal RNA, transfer RNA","hydrolase, ribosome, translation",""
"5JC9","ribosomal RNA","ribosome",""
"5JCS","ribosomal RNA","protease, ribosome, translation",""
"5JPQ","ribosomal RNA, small nucleolar RNA (snoRNA)","methylase, ribosome, spliceosome, splicing, transferase, translation",""
"5JTE","ribosomal RNA, transfer RNA","ribosome",""
"5JU8","ribosomal RNA, transfer RNA","ribosome",""
"5JUO","ribosomal RNA, IRES element","ribosome, translation",""
"5JUP","ribosomal RNA, IRES element","ribosome, translation",""
"5JUS","ribosomal RNA, IRES element","ribosome, translation",""
"5JUT","ribosomal RNA, IRES element","ribosome, translation",""
"5JUU","ribosomal RNA, IRES element","ribosome, translation",""
"5JVG","ribosomal RNA","ribosome",""
"5JVH","ribosomal RNA","ribosome",""
"5K0Y","ribosomal RNA, transfer RNA","ribosome, translation",""
"5KCR","ribosomal RNA, transfer RNA","ribosome",""
"5KCS","ribosomal RNA, transfer RNA","ribosome, translation",""
"5KPS","ribosomal RNA, transfer RNA","kinase, ribosome",""
"5KPV","ribosomal RNA, transfer RNA","kinase, ribosome",""
"5KPW","ribosomal RNA, transfer RNA","kinase, ribosome",""
"5KPX","ribosomal RNA, transfer RNA","kinase, ribosome",""
"5L3P","ribosomal RNA, transfer RNA","kinase, ribosome",""
"5LI0","ribosomal RNA","ribosome",""
"5LKS","ribosomal RNA","ribosome",""
"5LL6","ribosomal RNA","ribosome, translation",""
"5LMN","ribosomal RNA","ribosome, translation",""
"5LMO","ribosomal RNA","ribosome, translation",""
"5LMP","ribosomal RNA","ribosome, translation",""
"5LMQ","ribosomal RNA, transfer RNA","ribosome, translation",""
"5LMR","ribosomal RNA, transfer RNA","ribosome, translation",""
"5LMS","ribosomal RNA, transfer RNA","ribosome, translation",""
"5LMT","ribosomal RNA, transfer RNA","ribosome, translation",""
"5LMU","ribosomal RNA, transfer RNA","ribosome, translation",""
"5LMV","ribosomal RNA, transfer RNA","ribosome, translation",""
"5LYB","ribosomal RNA, transfer RNA","ribosome, translation",""
"5LZA","ribosomal RNA, transfer RNA","ribosome",""
"5LZB","ribosomal RNA, transfer RNA","ribosome, translation",""
"5LZC","ribosomal RNA, transfer RNA","ribosome, translation",""
"5LZD","ribosomal RNA, transfer RNA","ribosome, translation",""
"5LZE","ribosomal RNA, transfer RNA","ribosome",""
"5LZF","ribosomal RNA, transfer RNA","ribosome",""
"5LZS","ribosomal RNA, transfer RNA","ribosome, translation",""
"5LZT","ribosomal RNA, transfer RNA","ribosome, translation",""
"5LZU","ribosomal RNA, transfer RNA","ribosome, translation",""
"5LZV","ribosomal RNA, transfer RNA","ribosome, translation",""
"5LZW","ribosomal RNA, transfer RNA","nuclease, ribosome, translation",""
"5LZX","ribosomal RNA, transfer RNA","nuclease, ribosome, translation",""
"5LZY","ribosomal RNA, transfer RNA","nuclease, ribosome, translation",""
"5LZZ","ribosomal RNA, transfer RNA","nuclease, ribosome, translation",""
"5M1J","ribosomal RNA, transfer RNA","nuclease, ribosome, translation",""
"5MC6","ribosomal RNA, transfer RNA","helicase, ribosome, translation",""
"5MDV","ribosomal RNA, transfer RNA","ribosome, translation",""
"5MDW","ribosomal RNA, transfer RNA","ribosome, translation",""
"5MDY","ribosomal RNA, transfer RNA","ribosome, translation",""
"5MDZ","ribosomal RNA, transfer RNA","ribosome",""
"5ME0","ribosomal RNA, transfer RNA","ribosome, translation",""
"5ME1","ribosomal RNA, transfer RNA","ribosome, translation",""
"5MEI","ribosomal RNA","ribosome, translation",""
"5MGP","ribosomal RNA, transfer RNA","ribosome, translation",""
"5ML7","ribosomal RNA","",""
"5MLC","ribosomal RNA","ribosome, translation",""
"5MMI","ribosomal RNA","ribosome",""
"5MMJ","ribosomal RNA","ribosome",""
"5MMM","ribosomal RNA, transfer RNA","ribosome",""
"5MRC","ribosomal RNA, transfer RNA","ribosome",""
"5MRE","ribosomal RNA, transfer RNA","ribosome",""
"5MRF","ribosomal RNA, transfer RNA","ribosome",""
"5MRX","ribosomal RNA","",""
"5MY1","ribosomal RNA","polymerase, ribosome",""
"5MYJ","ribosomal RNA","ribosome, translation",""
"5NCO","ribosomal RNA","ribosome, SEC channel, signal recognition particle (SRP)",""
"5ND8","ribosomal RNA","ribosome, translation",""
"5ND9","ribosomal RNA","ribosome, translation",""
"5NDG","ribosomal RNA","ribosome, translation",""
"5NDJ","ribosomal RNA, transfer RNA","ribosome",""
"5NDK","ribosomal RNA, transfer RNA","ribosome",""
"5NDV","ribosomal RNA","ribosome, translation",""
"5NDW","ribosomal RNA","ribosome, translation",""
"5NGM","ribosomal RNA","ribosome, translation",""
"5NJT","ribosomal RNA","ribosome",""
"5NO2","ribosomal RNA","hydrolase, ribosome",""
"5NO3","ribosomal RNA","hydrolase, ribosome",""
"5NO4","ribosomal RNA","hydrolase, ribosome",""
"5NP6","ribosomal RNA, transfer RNA","isomerase, ribosome",""
"5NPM","ribosomal RNA","ribosome",""
"5NQI","ribosomal RNA","",""
"5NRG","ribosomal RNA","ribosome",""
"5NS3","ribosomal RNA","ribosome",""
"5NS4","ribosomal RNA","ribosome",""
"5NWY","ribosomal RNA, transfer RNA","ribosome",""
"5O2R","ribosomal RNA, transfer RNA","ribosome, translation",""
"5O5J","ribosomal RNA, transfer RNA","ribosome",""
"5O60","ribosomal RNA","ribosome",""
"5O61","ribosomal RNA, transfer RNA","ribosome",""
"5OA3","ribosomal RNA, IRES element, transfer RNA","ribosome, translation",""
"5OBM","ribosomal RNA","ribosome, translation",""
"5ON6","ribosomal RNA","ribosome, translation",""
"5OOL","ribosomal RNA, transfer RNA","ribosome, translation",""
"5OOM","ribosomal RNA, transfer RNA","ribosome, translation",""
"5OPT","ribosomal RNA","centromere, ribosome",""
"5OQL","ribosomal RNA, small nucleolar RNA (snoRNA)","methylase, ribosome, spliceosome, splicing, transferase, translation",""
"5OSG","ribosomal RNA","centromere, ribosome",""
"5OT7","ribosomal RNA, transfer RNA","ribosome, translation",""
"5T2A","ribosomal RNA","ribosome",""
"5T2C","ribosomal RNA, transfer RNA","ribosome",""
"5T3K","A-form double helix, ribosomal RNA","",""
"5T5H","ribosomal RNA","ribosome",""
"5T62","ribosomal RNA","hydrolase, ribosome, translation",""
"5T6R","ribosomal RNA","ribosome",""
"5T7V","ribosomal RNA, transfer RNA","ribosome",""
"5TBW","ribosomal RNA","ribosome, translation",""
"5TCU","ribosomal RNA, transfer RNA","ribosome",""
"5TGA","ribosomal RNA","ribosome, translation",""
"5TGM","ribosomal RNA, transfer RNA","ribosome, translation",""
"5U4I","ribosomal RNA, transfer RNA","ribosome, translation",""
"5U4J","ribosomal RNA, transfer RNA","ribosome, translation",""
"5U9F","ribosomal RNA, transfer RNA","ribosome, translation",""
"5U9G","ribosomal RNA, transfer RNA","ribosome, translation",""
"5UMD","ribosomal RNA","ribosome",""
"5UQ7","ribosomal RNA, transfer RNA","ribosome",""
"5UQ8","ribosomal RNA, transfer RNA","ribosome",""
"5UYK","ribosomal RNA, transfer RNA","ribosome, translation",""
"5UYL","ribosomal RNA, transfer RNA","ribosome, translation",""
"5UYM","ribosomal RNA, transfer RNA","ribosome, translation",""
"5UYN","ribosomal RNA, transfer RNA","ribosome, translation",""
"5UYP","ribosomal RNA, transfer RNA","ribosome, translation",""
"5UYQ","ribosomal RNA, transfer RNA","ribosome, translation",""
"5UZ4","ribosomal RNA","hydrolase, ribosome",""
"5V7Q","ribosomal RNA","ribosome",""
"5V8I","ribosomal RNA","ribosome",""
"5V93","ribosomal RNA","ribosome",""
"5VP2","ribosomal RNA, transfer RNA","ribosome",""
"5VPO","ribosomal RNA, transfer RNA","ribosome",""
"5VPP","ribosomal RNA, transfer RNA","ribosome",""
"5VYC","ribosomal RNA","ribosome, translation",""
"5W4K","ribosomal RNA, transfer RNA","ribosome",""
"5WDT","ribosomal RNA, transfer RNA","ribosome, translation",""
"5WE4","ribosomal RNA, transfer RNA","ribosome, translation",""
"5WE6","ribosomal RNA, transfer RNA","ribosome, translation",""
"5WF0","ribosomal RNA, transfer RNA","ribosome, translation",""
"5WFK","ribosomal RNA, transfer RNA","ribosome, translation",""
"5WFS","ribosomal RNA, transfer RNA","ribosome, translation",""
"5WIS","ribosomal RNA, transfer RNA","ribosome",""
"5WIT","ribosomal RNA, transfer RNA","ribosome",""
"5WLC","ribosomal RNA, small nucleolar RNA (snoRNA)","methylase, ribosome, spliceosome, splicing, translation",""
"5WNP","trans-acting transcriptional regulator, ribosomal RNA","ribosome",""
"5WNQ","ribosomal RNA","ribosome",""
"5WNR","ribosomal RNA","ribosome",""
"5WNS","ribosomal RNA","ribosome",""
"5WNT","ribosomal RNA","ribosome",""
"5WNU","ribosomal RNA","ribosome",""
"5WNV","trans-acting transcriptional regulator, ribosomal RNA","ribosome",""
"5WYJ","ribosomal RNA, small nucleolar RNA (snoRNA)","methylase, ribosome, spliceosome, splicing, translation",""
"5WYK","ribosomal RNA, small nucleolar RNA (snoRNA)","methylase, ribosome, spliceosome, splicing, translation",""
"5X8P","ribosomal RNA","ribosome, splicing",""
"5X8R","ribosomal RNA","ribosome, splicing",""
"5X8T","ribosomal RNA","ribosome",""
"5XTM","ribosomal RNA","ribosome",""
"5XXB","ribosomal RNA","ribosome",""
"5XXU","ribosomal RNA","ribosome",""
"5XY3","ribosomal RNA","ribosome",""
"5XYI","ribosomal RNA","ribosome",""
"5XYM","ribosomal RNA","ribosome",""
"5XYU","ribosomal RNA","ribosome",""
"5XZ1","ribosomal RNA","",""
"5Y7M","ribosomal RNA","ribosome",""
"5YDT","ribosomal RNA","ribosome",""
"5Z1H","ribosomal RNA","",""
"5Z1I","ribosomal RNA","",""
"5Z3G","ribosomal RNA","helicase, ribosome, splicing, transcription, translation",""
"5Z71","ribosomal RNA","",""
"5ZEB","ribosomal RNA, transfer RNA","ribosome",""
"5ZEG","ribosomal RNA","",""
"5ZEI","ribosomal RNA","",""
"5ZEJ","ribosomal RNA","",""
"5ZEM","A-form double helix, ribosomal RNA","",""
"5ZEP","ribosomal RNA, transfer RNA","ribosome, translation",""
"5ZET","ribosomal RNA","ribosome",""
"5ZEU","ribosomal RNA, transfer RNA","ribosome",""
"5ZLU","ribosomal RNA, transfer RNA","ribosome, translation",""
"5ZZM","ribosomal RNA","translation",""
"6AWB","ribosomal RNA","polymerase, ribosome",""
"6AWC","ribosomal RNA","polymerase, ribosome",""
"6AWD","ribosomal RNA","polymerase, ribosome",""
"6AZ1","ribosomal RNA, transfer RNA","ribosome",""
"6AZ3","ribosomal RNA","ribosome",""
"6B4V","ribosomal RNA, transfer RNA","ribosome, translation",""
"6BOH","ribosomal RNA, transfer RNA","ribosome, translation",""
"6BOK","ribosomal RNA, transfer RNA","ribosome, translation",""
"6BU8","ribosomal RNA, transfer RNA","ribosome",""
"6BUW","ribosomal RNA, transfer RNA","ribosome",""
"6BY1","ribosomal RNA, transfer RNA","ribosome",""
"6BZ6","ribosomal RNA, transfer RNA","ribosome",""
"6BZ7","ribosomal RNA, transfer RNA","ribosome",""
"6BZ8","ribosomal RNA, transfer RNA","ribosome",""
"6C0F","ribosomal RNA","helicase, ribosome, transcription, translation",""
"6C4H","ribosomal RNA, transfer RNA","ribosome, translation",""
"6C4I","ribosomal RNA, transfer RNA","ribosome, translation",""
"6C5L","ribosomal RNA, transfer RNA","ribosome, translation",""
"6CAE","ribosomal RNA, transfer RNA","ribosome",""
"6CAO","ribosomal RNA, transfer RNA","ribosome",""
"6CAP","ribosomal RNA, transfer RNA","ribosome",""
"6CAQ","ribosomal RNA, transfer RNA","ribosome",""
"6CAR","ribosomal RNA, transfer RNA","ribosome",""
"6CAS","ribosomal RNA, transfer RNA","ribosome",""
"6CB1","ribosomal RNA","helicase, ribosome, transcription, translation",""
"6CFJ","ribosomal RNA, transfer RNA","ribosome",""
"6CFK","ribosomal RNA","ribosome",""
"6CFL","ribosomal RNA","ribosome",""
"6CZR","ribosomal RNA","ribosome",""
"6D90","ribosomal RNA, IRES element, transfer RNA","ribosome, translation",""
"6D9J","ribosomal RNA, IRES element, transfer RNA","ribosome, translation",""
"6DDD","ribosomal RNA","ribosome",""
"6DDG","ribosomal RNA","ribosome",""
"6DNC","ribosomal RNA, transfer RNA","ribosome, translation",""
"6DTI","ribosomal RNA, transfer RNA","ribosome",""
"6DZI","ribosomal RNA","ribosome, translation",""
"6DZK","ribosomal RNA","ribosome, translation",""
"6DZP","ribosomal RNA","ribosome",""
"6ELZ","ribosomal RNA","helicase, methylase, ribosome, splicing, translation",""
"6EM1","ribosomal RNA","helicase, ribosome, splicing, transcription, translation",""
"6EM3","ribosomal RNA","helicase, ribosome, splicing, transcription, translation",""
"6EM4","ribosomal RNA","helicase, ribosome, splicing, transcription, translation",""
"6EM5","ribosomal RNA","helicase, methylase, ribosome, splicing, transcription, translation",""
"6EML","ribosomal RNA","kinase, ribosome, translation",""
"6ENF","ribosomal RNA, transfer RNA","ribosome",""
"6ENJ","ribosomal RNA, transfer RNA","ribosome, translation",""
"6ENU","ribosomal RNA, transfer RNA","ribosome, translation",""
"6ERI","ribosomal RNA","ribosome, translation",""
"6FAI","ribosomal RNA","kinase, ribosome, translation",""
"6FEC","ribosomal RNA, transfer RNA","ribosome, translation",""
"6FKR","ribosomal RNA","ribosome, translation",""
"6FRK","ribosomal RNA, SRP RNA, transfer RNA","ribosome, signal recognition particle (SRP)",""
"6FT6","ribosomal RNA","exosome, helicase, hydrolase, protease, ribosome, translation",""
"6FTG","ribosomal RNA","ribosome, SEC channel, transferase",""
"6FTI","ribosomal RNA, transfer RNA","ribosome, SEC channel, transferase",""
"6FTJ","ribosomal RNA","ribosome, SEC channel, transferase",""
"6FXC","ribosomal RNA","ribosome, translation",""
"6FYX","ribosomal RNA, transfer RNA","ribosome, translation",""
"6FYY","ribosomal RNA, transfer RNA","ribosome, translation",""
"6G18","ribosomal RNA","kinase, nuclease, ribosome, translation",""
"6G4S","ribosomal RNA","nuclease, ribosome, translation",""
"6G4W","ribosomal RNA","methylase, ribosome, translation",""
"6G51","ribosomal RNA","kinase, nuclease, ribosome, translation",""
"6G53","ribosomal RNA","nuclease, ribosome, translation",""
"6G5H","ribosomal RNA","ribosome",""
"6G5I","ribosomal RNA","kinase, nuclease, ribosome, translation",""
"6GAW","ribosomal RNA, transfer RNA","ribosome, translation",""
"6GAZ","ribosomal RNA, transfer RNA","ribosome, translation",""
"6GB2","ribosomal RNA, transfer RNA","ribosome, translation",""
